
Id=4, Inv=19
Id=161, Inv=39
Id=196, Inv=60
Id=206, Inv=31
Id=247, Inv=79
Id=253, Inv=86
Id=285, Inv=44
Id=319, Inv=59
Id=332, Inv=44
Id=506, Inv=34
Id=584, Inv=85
Id=763, Inv=15
Id=768, Inv=85
Id=860, Inv=78
Id=922, Inv=34
Id=936, Inv=11
Id=1001, Inv=47
Id=1141, Inv=23
Id=1209, Inv=51
Id=1295, Inv=19
Id=1344, Inv=73
Id=1359, Inv=30
Id=1379, Inv=18
Id=1395, Inv=19
Id=1429, Inv=3
Id=1463, Inv=24
Id=1479, Inv=98
Id=1583, Inv=42
Id=1672, Inv=97
Id=1755, Inv=21
Id=1918, Inv=61
Id=1948, Inv=96
Id=1996, Inv=89
Id=2064, Inv=93
Id=2106, Inv=78
Id=2114, Inv=9
Id=2119, Inv=7
Id=2123, Inv=56
Id=2161, Inv=9
Id=2257, Inv=32
Id=2268, Inv=49
Id=2370, Inv=65
Id=2402, Inv=25
Id=2407, Inv=75
Id=2429, Inv=40
Id=2523, Inv=53
Id=2628, Inv=77
Id=2643, Inv=81
Id=2655, Inv=57
Id=2707, Inv=63
Id=2709, Inv=17
Id=2730, Inv=11
Id=2768, Inv=69
Id=2911, Inv=79
Id=2966, Inv=81
Id=3019, Inv=4
Id=3047, Inv=25
Id=3111, Inv=43
Id=3145, Inv=29
Id=3160, Inv=51
Id=3427, Inv=36
Id=3433, Inv=5
Id=3507, Inv=100
Id=3679, Inv=87
Id=3684, Inv=23
Id=3696, Inv=86
Id=3799, Inv=21
Id=3840, Inv=72
Id=3842, Inv=3
Id=3904, Inv=90
Id=3905, Inv=72
Id=4009, Inv=69
Id=4039, Inv=89
Id=4209, Inv=45
Id=4226, Inv=5
Id=4302, Inv=7
Id=4329, Inv=64
Id=4343, Inv=69
Id=4352, Inv=95
Id=4385, Inv=70
Id=4459, Inv=51
Id=4631, Inv=91
Id=4713, Inv=93
Id=4725, Inv=44
Id=4929, Inv=95
Id=4973, Inv=90
Id=5077, Inv=30
Id=5136, Inv=56
Id=5294, Inv=82
Id=5331, Inv=5
Id=5343, Inv=21
Id=5376, Inv=72
Id=5475, Inv=58
Id=5481, Inv=59
Id=5529, Inv=11
Id=5672, Inv=72
Id=5676, Inv=10
Id=5811, Inv=26
Id=5850, Inv=19
Id=5875, Inv=54
Id=5912, Inv=23
Id=5931, Inv=37
Id=5970, Inv=40
Id=6034, Inv=27
Id=6094, Inv=53
Id=6122, Inv=90
Id=6166, Inv=13
Id=6196, Inv=100
